Reference, Quantity, Value, Footprint, Datasheet, mpn
C1 C14 C17 C19 C20 C21 C22 C23 ,8,"0.1uF","","~"
C15 C16 ,2,"22uF","","~"
C18 ,1,"1uF","","~"
C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 ,12,"1nF","","~"
D1 D2 ,2,"D","","~"
J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J13 J14 J15 J16 J17 J18 J19 J20 J21 J22 J23 J24 J26 J27 J28 J29 ,28,"Banana_Jack","",""
J25 ,1,"Eurorack Power Header","",""
J30 ,1,"Brain Bus","",""
R17 ,1,"12K","","~"
R18 ,1,"3K","","~"
R19 R22 R25 R26 ,4,"24K","","~"
R1 R2 R9 R10 ,4,"23K","","~"
R20 R21 R23 R24 ,4,"11K","","~"
R27 R29 R33 R35 R51 R53 R57 R59 ,8,"200K","","~"
R28 R30 R34 R36 R39 R40 R41 R42 R45 R46 R47 R48 R52 R54 R58 R60 R63 R64 R65 R66 R69 R70 R71 R72 R77 R78 R79 R80 R83 R84 R85 R86 ,32,"100K","","~"
R3 R4 R11 R12 ,4,"39K","","~"
R31 R32 R37 R38 R55 R56 R61 R62 ,8,"33K","","~"
R7 R8 R15 R16 R43 R44 R49 R50 R67 R68 R73 R74 R81 R82 R87 R88 ,16,"1K","","~"
R5 R6 R13 R14 ,4,"56K","","~"
R75 R89 R90 R91 R92 ,5,"10K","","~"
R76 ,1,"50K","","~"
U14 U17 ,2,"74HC165","","https://assets.nexperia.com/documents/data-sheet/74HC_HCT165.pdf"
U15 ,1,"MCP3208","","http://ww1.microchip.com/downloads/en/DeviceDoc/21298c.pdf"
U18 ,1,"74HC137","","http://www.ti.com/lit/ds/symlink/cd74hc237.pdf"
U19 ,1,"BH2227FV","Package_SO:SSOP-14_5.3x6.2mm_P0.65mm","https://www.mouser.com/datasheet/2/348/bh2227fv-e-1873713.pdf"
U2 ,1,"TL074CDT","","","TL074CDT"
U20 ,1,"74HC595","","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf"
U1 U3 ,2,"LM324","","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","LM324WDT"
U4 U9 ,2,"MCP6009","","","MCP6009-E/SL"
U5 U6 U7 U8 U10 U11 U12 U13 U21 U22 U23 U24 ,12,"MOSFET_RK7002BM","Package_TO_SOT_SMD:SOT-23","https://www.mouser.com/datasheet/2/348/rk7002bmt116-e-1873208.pdf","RK7002BMT116"